Sector,Sector Level 2,Sector Level 3,Sector Level 4,Technical Screening Criteria
1. Energy Saving and Environmental Protection Industry,1.1 Energy Efficiency Improvement,1.1.1 Manufacturing of Energy Efficient Equipment,1.1.1.1 Manufacturing of Energy-saving Boilers,"Manufacturing and trading of fuel power plant boilers, industrial boilers, marine boilers and other relevant equipment of blast furnace gas, biomass molding fuel and solid combustible waste. Among them, the energy efficiency of industrial boilers should meet or exceed Level Two or above of the Energy Efficiency Limits and Energy Efficiency Grades for Industrial Boilers  (GB 24500). The energy efficiency of other boilers should meet or exceed the target requirement of the thermal efficiency index of the relevant equipment technical specifications. All boiler equipment should meet the requirements of the Boiler Air Pollution Emission Standards (GB 13271) and local requirements for boilers’ emission."
1. Energy Saving and Environmental Protection Industry,1.1 Energy Efficiency Improvement,1.1.1 Manufacturing of Energy Efficient Equipment,1.1.1.2 Manufacturing of Energy-saving Furnace/Kiln,"Manufacturing and trading of metallurgical heating furnaces, non-electric metal treatment furnaces, industrial electric furnaces, industrial Kiln and other energy-saving furnaces/Kiln using high-temperature air combustion, oxygen-enrichment combustion, and waste heat utilization technologies, as well as the equipment like energy-saving furnace burners."
1. Energy Saving and Environmental Protection Industry,1.1 Energy Efficiency Improvement,1.1.1 Manufacturing of Energy Efficient Equipment,1.1.1.3 Manufacturing of Energy-saving Pumps and Vacuum Equipment,"Manufacturing and trading of energy-saving pumps, energy-saving vacuum drying equipment, energy-saving vacuum Kiln and other relevant equipment. Among them, the energy efficiency of energy-saving pumps should meet or exceed Level One of energy efficiency standards or relevant energy saving evaluation levels."
1. Energy Saving and Environmental Protection Industry,1.1 Energy Efficiency Improvement,1.1.1 Manufacturing of Energy Efficient Equipment,1.1.1.4 Manufacturing of Energy-saving Gas Compression Equipment,"Manufacturing and trading of energy-saving air compressors, compressors for air conditioners and other relevant equipment. The energy efficiency of the equipment should meet or exceed Level One of the national standards including the Energy Efficiency Limits and Evaluation Value of Energy Conservation for Positive Displacement Air Compressors (GB 19153) and the Energy Efficiency Limits Grades of Fully Enclosed Motor Compressor for Air Conditioners  (GB 35971). Other energy-saving air compression equipment should meet the corresponding energy efficiency requirements."
1. Energy Saving and Environmental Protection Industry,1.1 Energy Efficiency Improvement,1.1.1 Manufacturing of Energy Efficient Equipment,1.1.1.5 Manufacturing of Energy-saving Hydraulic and Pneumatic Pressure Equipment,Manufacturing and trading of energy-saving hydraulic and pneumatic power generation machinery and components.
1. Energy Saving and Environmental Protection Industry,1.1 Energy Efficiency Improvement,1.1.1 Manufacturing of Energy Efficient Equipment,1.1.1.6 Manufacturing of Energy-saving Blowers and Fans,"Manufacturing and trading of energy-saving ventilator, blower, industrial fan, ventilation hood, circulating air hood and other relevant equipment. The energy efficiency of the equipment should meet or exceed Level One of the national standards including the Energy Efficiency Limits and Energy Saving Evaluation for Ventilators (GB 19761) and the Energy Efficiency Limits and Energy Saving Evaluation Value for Centrifugal Blowers (GB 28381). Other energy-saving air compression equipment should meet the corresponding energy efficiency requirements."
1. Energy Saving and Environmental Protection Industry,1.1 Energy Efficiency Improvement,1.1.1 Manufacturing of Energy Efficient Equipment,1.1.1.7 Manufacturing of High-efficient Generators and Generator Sets,"Manufacturing and trading of energy-saving generators, generator sets and their special parts."
1. Energy Saving and Environmental Protection Industry,1.1 Energy Efficiency Improvement,1.1.1 Manufacturing of Energy Efficient Equipment,1.1.1.8 Manufacturing of Energy-saving Motors,"Manufacturing and trading of energy-saving AC, DC, AC/DC electrical equipment. The energy efficiency of the equipment should meet or exceed Level One of the national standards including the Energy Efficiency Limits and Energy Saving Evaluation for Motor (GB 18613), the Energy Efficiency Limits and Energy Saving Evaluation for Permanent Magnet Synchronous Motor (GB 30253), and the Energy Efficiency Limits and Energy Saving Evaluation for High Voltage Three-phase Cage Induction Motor (GB 30254). Other energy-saving electrical equipment should meet the corresponding energy efficiency requirements."
1. Energy Saving and Environmental Protection Industry,1.1 Energy Efficiency Improvement,1.1.1 Manufacturing of Energy Efficient Equipment,"1.1.1.9 Manufacturing of Energy-saving Transformers, Rectifiers, Inductors, and Electric Welding Machines","Manufacturing and trading of energy-saving transformers, mutual inductor, static converters, reactors, inductors, frequency converters, welding machines and other equipment. The energy efficiency of energy-saving electrical transformers should meet or exceed Level One of the Energy Efficiency Limits and Energy Saving Evaluation for Power Transformers (GB 20052). Other energy-saving transformers and reactors should meet the corresponding energy efficiency requirements."
1. Energy Saving and Environmental Protection Industry,1.1 Energy Efficiency Improvement,1.1.1 Manufacturing of Energy Efficient Equipment,"1.1.1.10 Manufacturing of Residual Heat, Pressure and Gas Exploitation Facilities","Manufacturing and trading of residual heat highly-recovering device for low-temperature flue gas, residual heat utilization device for the kiln, circulated water and residual gas recovering equipment based on heat pump, high-efficient heat exchanger, high-efficient accumulator, high-efficient condenser, and other relevant equipment. Among them, the energy efficiency of the heat exchanger shall meet the requirements of the relevant target standard. The utilization of residual energy should be carried out in accordance with the requirements of the Evaluation Method of Industrial Residual Energy Resource (GB/T 1028) and relevant national standards."
1. Energy Saving and Environmental Protection Industry,1.1 Energy Efficiency Improvement,1.1.1 Manufacturing of Energy Efficient Equipment,1.1.1.11 Manufacturing of High-efficient and Energy-saving Household Appliances,"Manufacturing, trading, and consumption of household appliances such as energy-saving air conditioners, air-conditioning units, refrigerators, electric washing machines, flat-screen TVs, electric fans, etc. The energy efficiency of the energy-saving products should meet or exceed Level One of the national standards, including the Energy Efficiency Limits and Grades of Household Air Conditioners (GB 21455), the Energy Consumption Limits and Energy Efficiency Grades of Household Refrigerators (GB12021.2), the Water Efficiency Limits and Grades of Electric Washing Machines (GB12021.4), the Energy Efficiency Limits and Grades of Flat-screen TVs and Set-top Boxes (GB 24850), and the Energy Efficiency Limits and Grades of AC Electric Fans (GB 12021.9)."
1. Energy Saving and Environmental Protection Industry,1.1 Energy Efficiency Improvement,1.1.1 Manufacturing of Energy Efficient Equipment,1.1.1.12 Manufacturing of High-efficient and Energy-saving Commercial Appliances,"Manufacturing, trading and consumption of energy-saving copy machines, printers, fax machines, microcomputers, projectors, commercial refrigerating appliances, chillers, heat pump units, modular air conditioners and other commercial equipment. The energy efficiency of energy-saving equipment should meet or exceed Level One of relevant energy efficiency standards."
1. Energy Saving and Environmental Protection Industry,1.1 Energy Efficiency Improvement,1.1.1 Manufacturing of Energy Efficient Equipment,1.1.1.13 Manufacturing of High-efficient Lighting Products and Systems,"Manufacturing and trading of substrate, epitaxial wafer, light source, lighting products (light-emitting diode LED) and its manufacturing equipment, electronic ballast in the semiconductor lighting industry chain. The energy efficiency of the products should meet Level One of relevant energy efficiency standards, such as the Energy Efficiency Limits and Grades of LED Products for Indoor Lighting (GB 30255), the Energy Efficiency Limits and Grades of LED Luminaires for Road and Tunnel Lighting (GB 37478), the Energy Efficiency Limits and Grades of LED Flat Lamp for General Lighting (GB 38450), the Energy Efficiency Limits and Grades of LED Flat Lamp for Tube Fluorescent Lamp (GB 17896), the Energy Efficiency Limits and Energy Saving Evaluation Value for High-pressure Sodium Lamp Ballasts (GB 19574), the Energy Efficiency Limits and Grades for Metal Halide Lamp Ballasts (GB 20053), and the Energy Efficiency Limits and Grades of AC Electronic Ballasts for Single Ended Electroless Fluorescent Lamps (GB 29143)."
1. Energy Saving and Environmental Protection Industry,1.1 Energy Efficiency Improvement,1.1.1 Manufacturing of Energy Efficient Equipment,"1.1.1.14 Manufacturing of Energy Measuring, Monitoring, and Controlling Equipment","Manufacturing and trading of energy-saving testing equipment, online energy measuring equipment, online energy detection equipment, thermal detection equipment, energy-saving automatic controlling equipment, temperature measuring equipment, flow measuring equipment, electricity metering equipment , thermal measuring equipment and other energy measuring, testing, monitoring equipment. Energy measuring equipment should comply with the requirements of the General Rules for the Equipping and Management of Energy Measuring Instruments for Energy Consuming Units (GB 17167)"
1. Energy Saving and Environmental Protection Industry,1.1 Energy Efficiency Improvement,1.1.2  Industrial Energy Saving Retrofit,1.1.2.1 Energy-saving Transformation and Energy Efficiency Improvement of Boilers (Furnaces/Kiln),"Energy-saving technology of the boilers (furnaces/Kiln) is upgraded by replacing and upgrading device and equipment, upgrading technology, optimizing fuel and combustion adjustment; Energy-saving technology of fuel boilers (furnaces/Kiln) is upgraded by using clean energy, such as gas and renewable energy, and using waste heat from factories and thermal power from the power plants instead of coal, petroleum coke, residual oil and heavy oil, for the improvement of the energy efficiency of boilers (furnaces/Kiln)."
1. Energy Saving and Environmental Protection Industry,1.1 Energy Efficiency Improvement,1.1.2  Industrial Energy Saving Retrofit,1.1.2.2 Energy Efficiency Improvement of Motor System,"Energy-saving upgrading is carried out for the equipment or the comprehensive system of the motor system (including inner blower, pumps, compressors, transformers and other equipment) by device replacement, technology upgrading, and control system optimization for the energy efficiency improvement of the motor system."
1. Energy Saving and Environmental Protection Industry,1.1 Energy Efficiency Improvement,1.1.2  Industrial Energy Saving Retrofit,1.1.2.3 Utilization of Residual Heat and Pressure,"Facility construction or technology upgrading for recycling energy resources such as low-grade residual heat and pressure in industrial production for electricity generating, industrial heating, residential heating or for reusing processing technology by saturated steam power generation technology, flue gas waste heat recovery and other related technologies."
1. Energy Saving and Environmental Protection Industry,1.1 Energy Efficiency Improvement,1.1.2  Industrial Energy Saving Retrofit,1.1.2.4 Optimization of Energy System,"Energy-saving technology upgrading for energy efficiency improvement of the entire production system, with the collaborative optimization of energy flow, material flow, and information flow during industrial production and the efficiency improvement of energy cascade utilization, by technical measures including process flow optimization, system technology integration application, energy system design and control optimization. The above should meet the national standards such as the Material Flow Analysis Technical Guide for Industrial Parks (GB/T 38903) ."
1. Energy Saving and Environmental Protection Industry,1.1 Energy Efficiency Improvement,1.1.2  Industrial Energy Saving Retrofit,1.1.2.5 Systematic Improvement on Energy Efficiency of Steam Turbine Generator Sets,"Energy-saving technology upgrading of equipment or system such as the turbine flow passage, cold end system, heating surface and flue air system, operation control system, thermal and drainage system, and auxiliary motor, for the purpose of improving the energy efficiency of steam turbine generator sets."
